path,N,method,duration,objective,min,max,mean,std
../instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,DC ,0.614883,1880.24,jain,1,41,21,28.2843
../instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,RC,0.688702,2153.45,jain,1,41,21,28.2843
../instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,BS,2.73434,1500.17,jain,1,41,21,28.2843
../instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,LN,193.636,1605.37,jain,1,41,21,28.2843
../instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,GA,931.122,1274.34,jain,1,41,21,28.2843
../instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,DC ,0.623068,2237.31,jain,1,45,23,31.1127
../instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,RC,0.66679,2447.75,jain,1,45,23,31.1127
../instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,BS,2.39704,1618.14,jain,1,45,23,31.1127
../instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,LN,268.741,1931.9,jain,1,45,23,31.1127
../instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,GA,1190.31,1421.34,jain,1,45,23,31.1127
../instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,DC ,0.600897,2195.95,jain,1,49,25,33.9411
../instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,RC,0.6665,2296.12,jain,1,49,25,33.9411
../instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,BS,2.50139,1701.25,jain,1,49,25,33.9411
../instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,LN,261.961,1793.54,jain,1,49,25,33.9411
../instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,GA,1324.67,1545.38,jain,1,49,25,33.9411
../instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,DC ,0.591159,2133.44,jain,1,44,22.5,30.4056
../instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,RC,0.676078,2247.69,jain,1,44,22.5,30.4056
