path,N,method,duration,objective
../instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,DC ,0.643517,1802.82
../instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,RC,0.721613,2097
../instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,BS,1.59487,1746.17
../instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,VND,0.354305,1799.07
../instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,DC ,1.02426,1576.51
../instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,RC,0.66721,1656.5
../instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,BS,1.32127,1586.03
../instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,VND,0.047509,1574.07
../instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,DC ,0.61335,1442.13
../instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,RC,0.654417,1663.14
../instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,BS,1.26077,1366.02
../instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,VND,0.094316,1440.61
../instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,DC ,0.583935,1273.84
../instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,RC,0.675736,1724.31
../instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,BS,1.15044,1422.76
../instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,VND,0.054001,1269.75
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,DC ,0.734166,3983.53
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,RC,0.8371,4847.21
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,BS,3.82327,3580.85
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,VND,0.232867,3974.7
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,DC ,0.717715,3765
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,RC,0.824075,4185.71
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,BS,3.19582,3535.35
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,VND,0.369223,3759.65
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,DC ,0.698359,3498.07
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,RC,0.790272,3702.42
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,BS,3.01489,3346.03
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,VND,2.75537,3488.39
../instances/100/test/instance42_nreq100_nveh2_gamma87.txt,100,DC ,0.745107,4028.9
../instances/100/test/instance42_nreq100_nveh2_gamma87.txt,100,RC,0.954349,4326.26
../instances/100/test/instance42_nreq100_nveh2_gamma87.txt,100,BS,2.74928,3841.75
../instances/100/test/instance42_nreq100_nveh2_gamma87.txt,100,VND,0.207889,4001.22
